augmentation,job_family,occupation_title,automation
0.42,Health care,Diagnostic medical sonographers,0.22
0.43,Health care,Neurodiagnostic technologists,0.22
0.43,Health care,Medical and clinical laboratory technologists,0.22
0.43,"Life, physical, and social science",Agricultural technicians,0.22
0.45,Health care,Cardiologists,0.21
0.38,Health care,Emergency medical technicians,0.21
0.45,"Production, construction and transportation",Commercial pilots,0.21
0.44,Legal,"Judges, magistrate judges, and magistrates",0.21
0.36,Health care,Respiratory therapists,0.21
0.36,Office support,"Office machine operators, except computer",0.21
0.43,Health care,Optometrists,0.21
0.42,Educational instruction,"Special education teachers, preschool",0.21
0.37,"Production, construction and transportation",Automotive and watercraft service attendants,0.21
0.35,Services and other,Correctional officers and jailers,0.21
0.45,Health care,"Dentists, general",0.21
0.42,Services and other,Recreation workers,0.21
0.34,"Production, construction and transportation",Bridge and lock tenders,0.21
0.37,Services and other,Home appliance repairers,0.21
0.36,Educational instruction,"Teaching assistants, special education",0.2
0.39,Educational instruction,"Special education teachers, kindergarten",0.2
0.36,Health care,Cardiovascular technologists and technicians,0.2
0.44,Health care,Physical medicine and rehabilitation physicians,0.2
0.5,"Arts, sports and media",Interior designers,0.2
0.34,Services and other,Manicurists and pedicurists,0.2
0.42,Health care,Orthodontists,0.2
0.32,Health care,Medical equipment preparers,0.2
0.37,"Production, construction and transportation",Butchers and meat cutters,0.2
0.5,Office support,Desktop publishers,0.2
0.41,Health care,Nurse anesthetists,0.2
0.32,Services and other,Childcare workers,0.2
0.36,"Production, construction and transportation",Heavy and tractor-trailer truck drivers,0.2
0.4,Services and other,"Cooks, institution and cafeteria",0.2
0.41,"Arts, sports and media",Musicians and singers,0.2
0.5,"Arts, sports and media",Commercial and industrial designers,0.19
0.47,"Production, construction and transportation",Solar photovoltaic installers,0.19
0.31,Services and other,Bailiffs,0.19
0.35,"Production, construction and transportation","Textile cutting machine setters, operators, and tenders",0.19
0.48,"Arts, sports and media",Set and exhibit designers,0.19
0.38,Health care,Magnetic resonance imaging technologists,0.19
0.38,Services and other,Police and sheriff's patrol officers,0.19
0.4,"Production, construction and transportation",Team assemblers,0.19
0.36,Health care,Radiologic technologists and technicians,0.19
0.3,"Production, construction and transportation","Coil winders, tapers, and finishers",0.19
0.43,Services and other,Wind turbine service technicians,0.19
0.41,Services and other,Barbers,0.19
0.35,Services and other,Waiters and waitresses,0.19
0.37,Health care,Orthotists and prosthetists,0.18
0.42,Engineering,Electrical and electronics drafters,0.18
0.44,"Life, physical, and social science",Nuclear technicians,0.18
0.4,Educational instruction,Museum technicians and conservators,0.18
0.37,"Production, construction and transportation","Petroleum pump system operators, refinery operators, and gaugers",0.18
0.38,Business and finance,Coroners,0.18
0.36,"Production, construction and transportation",Stationary engineers and boiler operators,0.18
0.35,Services and other,Funeral attendants,0.18
0.32,"Production, construction and transportation","Textile knitting and weaving machine setters, operators, and tenders",0.18
0.29,"Production, construction and transportation",Food cooking machine operators and tenders,0.18
0.34,Services and other,Farm equipment mechanics and service technicians,0.18
0.33,Services and other,Transit and railroad police,0.18
0.33,"Production, construction and transportation",Chemical plant and system operators,0.18
0.29,Health care,Psychiatric aides,0.18
0.33,Health care,Home health aides,0.18
0.5,Engineering,Cartographers and photogrammetrists,0.18
0.29,"Production, construction and transportation",Ship engineers,0.18
0.36,"Production, construction and transportation",Electrical and electronic equipment assemblers,0.17
0.39,"Production, construction and transportation",Machinists,0.17
0.38,"Production, construction and transportation",Printing press operators,0.17
0.35,Educational instruction,"Substitute teachers, short-term",0.17
0.32,"Production, construction and transportation","Bus drivers, transit and intercity",0.17
0.4,Sales,Gambling change persons and booth cashiers,0.17
0.28,Services and other,"Locker room, coatroom, and dressing room attendants",0.17
0.36,Health care,Critical care nurses,0.17
0.28,Services and other,Crematory operators,0.17
0.45,Engineering,Aerospace engineering and operations technologists and technicians,0.17
0.42,Services and other,Geothermal technicians,0.17
0.31,Services and other,Watch and clock repairers,0.16
0.4,Health care,Radiation therapists,0.16
0.31,Services and other,Police identification and records officers,0.16
0.4,"Arts, sports and media",Broadcast technicians,0.16
0.32,"Production, construction and transportation",Bakers,0.16
0.42,"Arts, sports and media",Graphic designers,0.16
0.34,"Production, construction and transportation",Computer numerically controlled tool operators,0.16
0.31,"Production, construction and transportation","Captains, mates, and pilots of water vessels",0.16
0.32,Health care,Phlebotomists,0.16
0.27,"Production, construction and transportation","Rail yard engineers, dinkey operators, and hostlers",0.16
0.27,Health care,Physical therapist aides,0.16
0.39,"Arts, sports and media",Floral designers,0.16
0.36,Health care,Cytotechnologists,0.16
0.38,"Arts, sports and media","Camera operators, television, video, and film",0.16
0.38,"Production, construction and transportation",Gas plant operators,0.16
0.37,"Production, construction and transportation",Power plant operators,0.15
0.36,Services and other,Security and fire alarm systems installers,0.15
0.43,"Arts, sports and media",Special effects artists and animators,0.15
0.32,Educational instruction,"Preschool teachers, except special education",0.15
0.29,"Production, construction and transportation",Textile bleaching and dyeing machine operators and tenders,0.15
0.29,Services and other,"Maintenance workers, machinery",0.15
0.29,"Production, construction and transportation","Furnace, kiln, oven, drier, and kettle operators and tenders",0.15
0.33,Sales,Cashiers,0.15
0.35,Services and other,Avionics technicians,0.15
0.29,"Production, construction and transportation",Conveyor operators and tenders,0.15
0.35,Services and other,Pest control workers,0.15
0.39,Engineering,Photonics technicians,0.15
0.3,Health care,Veterinary technologists and technicians,0.15
0.36,Health care,Paramedics,0.15
0.29,Services and other,Transportation security screeners,0.14
0.3,"Production, construction and transportation",Jewelers and precious stone and metal workers,0.14
0.27,"Production, construction and transportation",Food batchmakers,0.14
0.48,Engineering,Architectural and civil drafters,0.14
0.24,"Production, construction and transportation","Crushing, grinding, and polishing machine setters, operators, and tenders",0.14
0.24,Services and other,Firefighters,0.14
0.3,"Production, construction and transportation",Cabinetmakers and bench carpenters,0.14
0.24,Services and other,Security guards,0.14
0.24,Services and other,"Hairdressers, hairstylists, and cosmetologists",0.14
0.24,"Production, construction and transportation",Locomotive engineers,0.14
0.33,"Production, construction and transportation","Earth drillers, except oil and gas",0.14
0.29,"Production, construction and transportation",Carpenters,0.14
0.31,"Production, construction and transportation","Patternmakers, wood",0.14
0.24,Health care,Physical therapist assistants,0.14
0.27,"Production, construction and transportation","Rolling machine setters, operators, and tenders, metal and plastic",0.13
0.23,"Production, construction and transportation",Water and wastewater treatment plant and system operators,0.13
0.23,"Production, construction and transportation","Textile winding, twisting, and drawing out machine setters, operators, and tenders",0.13
0.23,"Production, construction and transportation",Light truck drivers,0.13
0.23,"Production, construction and transportation",Semiconductor processing technicians,0.13
0.23,Services and other,Nannies,0.13
0.39,Business and finance,Farm labor contractors,0.13
0.39,"Production, construction and transportation",Construction and building inspectors,0.13
0.38,"Production, construction and transportation",Fabric and apparel patternmakers,0.13
0.29,Services and other,Gambling and sports book writers and runners,0.13
0.29,Health care,Licensed practical and licensed vocational nurses,0.13
0.3,Services and other,Bartenders,0.13
0.31,"Arts, sports and media",Craft artists,0.13
0.31,Health care,Dental hygienists,0.13
0.31,Services and other,"Electrical and electronics installers and repairers, transportation equipment",0.13
0.32,"Production, construction and transportation","Milling and planing machine setters, operators, and tenders, metal and plastic",0.13
0.36,"Arts, sports and media",Athletes and sports competitors,0.12
0.31,"Life, physical, and social science",Forensic science technicians,0.12
0.2,"Production, construction and transportation",Flight attendants,0.12
0.37,"Production, construction and transportation","Insulation workers, mechanical",0.12
0.26,"Production, construction and transportation",Passenger attendants,0.12
0.4,"Arts, sports and media","Fine artists, including painters, sculptors, and illustrators",0.12
0.26,Health care,Endoscopy technicians,0.12
0.3,Health care,Histotechnologists,0.12
0.42,"Arts, sports and media",Fashion designers,0.12
0.3,Services and other,"Cooks, restaurant",0.12
0.37,"Arts, sports and media",Merchandise displayers and window trimmers,0.12
0.3,"Production, construction and transportation","Model makers, metal and plastic",0.12
0.24,Office support,"Mail clerks and mail machine operators, except postal service",0.12
0.43,"Arts, sports and media",Art directors,0.12
0.29,"Production, construction and transportation","Welding, soldering, and brazing machine setters, operators, and tenders",0.12
0.27,Services and other,"Electronic equipment installers and repairers, motor vehicles",0.12
0.33,Services and other,"Maintenance and repair workers, general",0.12
0.25,"Production, construction and transportation",Hydroelectric plant technicians,0.12
0.29,Office support,"Postal service mail sorters, processors, and processing machine operators",0.12
0.32,Services and other,Embalmers,0.12
0.25,Services and other,Baristas,0.11
0.35,"Production, construction and transportation",Prepress technicians and workers,0.11
0.23,"Production, construction and transportation",Septic tank servicers and sewer pipe cleaners,0.11
0.28,Services and other,Skincare specialists,0.11
0.34,"Arts, sports and media",Choreographers,0.11
0.24,"Production, construction and transportation",Operating engineers and other construction equipment operators,0.11
0.36,Services and other,Camera and photographic equipment repairers,0.11
0.25,Services and other,Outdoor power equipment and other small engine mechanics,0.11
0.23,"Production, construction and transportation","Multiple machine tool setters, operators, and tenders, metal and plastic",0.11
0.26,"Production, construction and transportation","Pump operators, except wellhead pumpers",0.11
0.24,Services and other,Gambling dealers,0.11
0.22,Services and other,Fast food and counter workers,0.11
0.28,"Production, construction and transportation","Painters, construction and maintenance",0.11
0.26,"Production, construction and transportation",Biomass plant technicians,0.11
0.42,"Arts, sports and media",Photographers,0.11
0.19,"Production, construction and transportation","Mixing and blending machine setters, operators, and tenders",0.11
0.2,"Production, construction and transportation","Laborers and freight, stock, and material movers, hand",0.11
0.2,Services and other,School bus monitors,0.11
0.19,"Production, construction and transportation","Extruding, forming, pressing, and compacting machine setters, operators, and tenders",0.11
0.19,Health care,Ophthalmic medical technicians,0.11
0.33,"Production, construction and transportation",Elevator and escalator installers and repairers,0.1
0.25,"Production, construction and transportation","Model makers, wood",0.1
0.33,"Production, construction and transportation",Biofuels processing technicians,0.1
0.23,Health care,Ophthalmic medical technologists,0.1
0.26,"Production, construction and transportation","Glass blowers, molders, benders, and finishers",0.1
0.2,Health care,Nursing assistants,0.1
0.21,"Production, construction and transportation",Print binding and finishing workers,0.1
0.32,Health care,Medical and clinical laboratory technicians,0.1
0.18,"Production, construction and transportation","Loading and moving machine operators, underground mining",0.1
0.23,"Production, construction and transportation","Excavating and loading machine and dragline operators, surface mining",0.1
0.18,"Production, construction and transportation","Food and tobacco roasting, baking, and drying machine operators and tenders",0.1
0.18,Services and other,"Heating, air conditioning, and refrigeration mechanics and installers",0.1
0.25,"Arts, sports and media",Film and video editors,0.1
0.23,Services and other,"Control and valve installers and repairers, except mechanical door",0.1
0.23,"Arts, sports and media",Sound engineering technicians,0.1
0.22,Services and other,"Lifeguards, ski patrol, and other recreational protective service workers",0.1
0.18,"Production, construction and transportation","Rotary drill operators, oil and gas",0.1
0.17,"Production, construction and transportation","Ambulance drivers and attendants, except emergency medical technicians",0.1
0.32,Services and other,"Mobile heavy equipment mechanics, except engines",0.1
0.24,"Production, construction and transportation",Hazardous materials removal workers,0.09
0.29,"Production, construction and transportation","Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",0.09
0.22,"Production, construction and transportation","Heat treating equipment setters, operators, and tenders, metal and plastic",0.09
0.24,"Production, construction and transportation",Upholsterers,0.09
0.29,Health care,Anesthesiologist assistants,0.09
0.16,"Production, construction and transportation","Packers and packagers, hand",0.09
0.16,"Production, construction and transportation","Cleaning, washing, and metal pickling equipment operators and tenders",0.09
0.22,"Production, construction and transportation","Extruding and drawing machine setters, operators, and tenders, metal and plastic",0.09
0.17,"Production, construction and transportation","Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",0.09
0.22,Services and other,Recreational vehicle service technicians,0.09
0.27,"Arts, sports and media",Media technical directors/managers,0.08
0.26,"Production, construction and transportation",Crane and tower operators,0.08
0.19,"Production, construction and transportation","Service unit operators, oil and gas",0.08
0.15,"Production, construction and transportation","Forging machine setters, operators, and tenders, metal and plastic",0.08
0.14,Services and other,Maids and housekeeping cleaners,0.08
0.2,Health care,Surgical technologists,0.08
0.22,Services and other,"Ushers, lobby attendants, and ticket takers",0.08
0.18,Services and other,Animal trainers,0.08
0.21,"Production, construction and transportation",Photographic process workers and processing machine operators,0.08
0.31,Services and other,"Makeup artists, theatrical and performance",0.08
0.15,"Production, construction and transportation",Machine feeders and offbearers,0.08
0.15,Services and other,Motorboat mechanics and service technicians,0.08
0.19,Services and other,Aircraft mechanics and service technicians,0.08
0.19,Services and other,Telecommunications line installers and repairers,0.08
0.14,Services and other,Locksmiths and safe repairers,0.08
0.47,Engineering,Mechanical drafters,0.07
0.17,"Production, construction and transportation",Furniture finishers,0.07
0.17,"Production, construction and transportation","Explosives workers, ordnance handling experts, and blasters",0.07
0.12,"Production, construction and transportation","Derrick operators, oil and gas",0.07
0.17,Services and other,"Radio, cellular, and tower equipment installers and repairers",0.07
0.18,"Production, construction and transportation","Plumbers, pipefitters, and steamfitters",0.07
0.16,Services and other,"Janitors and cleaners, except maids and housekeeping cleaners",0.07
0.16,"Production, construction and transportation","Tailors, dressmakers, and custom sewers",0.07
0.16,Services and other,Mechanical door repairers,0.07
0.13,Services and other,"Food servers, nonrestaurant",0.07
0.13,Services and other,Crossing guards and flaggers,0.07
0.13,"Production, construction and transportation",Metal-refining furnace operators and tenders,0.07
0.15,Services and other,"Electric motor, power tool, and related repairers",0.07
0.13,"Production, construction and transportation",Medical appliance technicians,0.07
0.13,Services and other,Signal and track switch repairers,0.07
0.13,Services and other,Landscaping and groundskeeping workers,0.07
0.14,"Production, construction and transportation",Construction laborers,0.07
0.11,"Production, construction and transportation",Cooling and freezing equipment operators and tenders,0.06
0.11,"Production, construction and transportation","Plating machine setters, operators, and tenders, metal and plastic",0.06
0.11,Services and other,Rail car repairers,0.06
0.11,"Production, construction and transportation",Shoe machine operators and tenders,0.06
0.1,"Production, construction and transportation",Aircraft service attendants,0.06
0.11,"Production, construction and transportation","Railroad brake, signal, and switch operators and locomotive firers",0.06
0.11,"Production, construction and transportation",Adhesive bonding machine operators and tenders,0.06
0.14,"Production, construction and transportation","Cutting and slicing machine setters, operators, and tenders",0.06
0.14,"Production, construction and transportation",Sewing machine operators,0.06
0.15,Services and other,Tree trimmers and pruners,0.06
0.16,"Production, construction and transportation",Electricians,0.06
0.14,"Production, construction and transportation",Sailors and marine oilers,0.05
0.09,"Production, construction and transportation",Cleaners of vehicles and equipment,0.05
0.09,"Production, construction and transportation","Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",0.05
0.09,"Production, construction and transportation","Grinding and polishing workers, hand",0.05
0.19,"Production, construction and transportation",Parking attendants,0.05
0.1,"Production, construction and transportation","Tank car, truck, and ship loaders",0.05
0.17,"Production, construction and transportation",Gem and diamond workers,0.05
0.1,"Production, construction and transportation",Recycling and reclamation workers,0.05
0.17,"Production, construction and transportation",Engine and other machine assemblers,0.05
0.17,"Production, construction and transportation",Sheet metal workers,0.05
0.17,"Production, construction and transportation","Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",0.05
0.18,Services and other,"Cooks, fast food",0.05
0.19,Services and other,"Pesticide handlers, sprayers, and applicators, vegetation",0.05
0.17,"Production, construction and transportation","Insulation workers, floor, ceiling, and wall",0.05
0.14,"Production, construction and transportation","Woodworking machine setters, operators, and tenders, except sawing",0.04
0.08,Services and other,Automotive body and related repairers,0.04
0.07,"Production, construction and transportation","Coating, painting, and spraying machine setters, operators, and tenders",0.04
0.16,"Production, construction and transportation","Potters, manufacturing",0.04
0.14,"Production, construction and transportation",Brickmasons and blockmasons,0.04
0.15,Health care,Oral and maxillofacial surgeons,0.04
0.15,Health care,Hearing aid specialists,0.04
0.15,"Production, construction and transportation","Patternmakers, metal and plastic",0.04
0.08,"Production, construction and transportation",Helpers--electricians,0.04
0.14,"Production, construction and transportation","Welders, cutters, solderers, and brazers",0.04
0.08,Services and other,Motion picture projectionists,0.04
0.14,Services and other,Automotive service technicians and mechanics,0.04
0.25,"Production, construction and transportation","Layout workers, metal and plastic",0.04
0.13,Services and other,Manufactured building and mobile home installers,0.04
0.11,"Arts, sports and media",Dancers,0.03
0.11,"Production, construction and transportation",Continuous mining machine operators,0.03
0.22,"Production, construction and transportation","Lathe and turning machine tool setters, operators, and tenders, metal and plastic",0.03
0.11,"Production, construction and transportation",Motorboat operators,0.03
0.06,"Production, construction and transportation",Helpers--production workers,0.03
0.1,"Production, construction and transportation",Timing device assemblers and adjusters,0.03
0.11,"Production, construction and transportation",Tool and die makers,0.03
0.11,"Production, construction and transportation","Cutters and trimmers, hand",0.03
0.12,"Production, construction and transportation","Drilling and boring machine tool setters, operators, and tenders, metal and plastic",0.03
0.13,Services and other,Bicycle repairers,0.03
0.13,"Production, construction and transportation",Plasterers and stucco masons,0.03
0.11,"Production, construction and transportation","Tool grinders, filers, and sharpeners",0.03
0.11,Services and other,"Helpers--installation, maintenance, and repair workers",0.03
0.12,"Production, construction and transportation",Tapers,0.03
0.07,Services and other,Food preparation workers,0.03
0.09,"Production, construction and transportation",Solar thermal installers and technicians,0.02
0.09,Services and other,Electrical power-line installers and repairers,0.02
0.07,"Production, construction and transportation",Shoe and leather workers and repairers,0.02
0.07,Services and other,Bus and truck mechanics and diesel engine specialists,0.02
0.07,Services and other,Tire repairers and changers,0.02
0.07,"Production, construction and transportation",Roofers,0.02
0.08,"Production, construction and transportation",Tile and stone setters,0.02
0.08,Services and other,Commercial divers,0.02
0.08,"Production, construction and transportation",Glaziers,0.02
0.08,"Production, construction and transportation",Drywall and ceiling tile installers,0.02
0.08,"Production, construction and transportation","Sawing machine setters, operators, and tenders, wood",0.02
0.09,"Production, construction and transportation",Fence erectors,0.02
0.07,"Production, construction and transportation","Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",0.02
0.06,"Production, construction and transportation",Laundry and dry-cleaning workers,0.02
0.07,Health care,Surgical assistants,0.02
0,"Production, construction and transportation",Floor sanders and finishers,0
0,"Production, construction and transportation",Carpet installers,0
0,"Production, construction and transportation","Floor layers, except carpet, wood, and hard tiles",0
0,"Production, construction and transportation",Structural metal fabricators and fitters,0
0,"Production, construction and transportation",Pipelayers,0
0,"Production, construction and transportation",Slaughterers and meat packers,0
0,Services and other,Dining room and cafeteria attendants and bartender helpers,0
0,"Production, construction and transportation",Dredge operators,0
0,Health care,Histology technicians,0
0,Services and other,Millwrights,0
0,"Production, construction and transportation","Pourers and casters, metal",0
0,"Production, construction and transportation",Packaging and filling machine operators and tenders,0
0,"Production, construction and transportation","Meat, poultry, and fish cutters and trimmers",0
0,"Production, construction and transportation",Etchers and engravers,0
0,Health care,Orderlies,0
0,"Production, construction and transportation",Terrazzo workers and finishers,0
0,"Production, construction and transportation",Cement masons and concrete finishers,0
0,"Production, construction and transportation",Dental laboratory technicians,0
0,"Production, construction and transportation",Wellhead pumpers,0
0,"Production, construction and transportation","Paving, surfacing, and tamping equipment operators",0
0,"Production, construction and transportation","Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",0
0,"Production, construction and transportation",Rail-track laying and maintenance equipment operators,0
0,Health care,Prosthodontists,0
0,Services and other,Motorcycle mechanics,0
0,"Production, construction and transportation","Painting, coating, and decorating workers",0
0,"Arts, sports and media",Lighting technicians,0
0,"Production, construction and transportation","Stone cutters and carvers, manufacturing",0
0,Services and other,Musical instrument repairers and tuners,0
0,Services and other,"Refractory materials repairers, except brickmasons",0
0,"Production, construction and transportation",Reinforcing iron and rebar workers,0
0,"Production, construction and transportation","Pressers, textile, garment, and related materials",0
0,"Production, construction and transportation",Electromechanical equipment assemblers,0
0,"Production, construction and transportation",Helpers--extraction workers,0
0.11,"Production, construction and transportation",Structural iron and steel workers,0
0.07,"Production, construction and transportation","Aircraft structure, surfaces, rigging, and systems assemblers",0
0,"Production, construction and transportation",Segmental pavers,0
0,"Production, construction and transportation","Molders, shapers, and casters, except metal and plastic",0
0,Services and other,Automotive glass installers and repairers,0
0,Services and other,Dishwashers,0
0,"Production, construction and transportation",Ophthalmic laboratory technicians,0
0,"Production, construction and transportation",Fiberglass laminators and fabricators,0
0,"Production, construction and transportation",Hoist and winch operators,0
0,"Production, construction and transportation",Paperhangers,0
0,Services and other,"Cooks, short order",0
0,"Production, construction and transportation",Pile driver operators,0
0,"Production, construction and transportation",Foundry mold and coremakers,0
0,"Production, construction and transportation",Industrial truck and tractor operators,0
0,Services and other,Riggers,0
0,"Production, construction and transportation",Boilermakers,0
0,"Production, construction and transportation",Stonemasons,0
0,"Production, construction and transportation",Tire builders,0
0,"Production, construction and transportation",Helpers--carpenters,0
0,"Production, construction and transportation","Helpers--painters, paperhangers, plasterers, and stucco masons",0
0,"Production, construction and transportation","Sewers, hand",0
0,"Production, construction and transportation","Helpers--pipelayers, plumbers, pipefitters, and steamfitters",0
0,"Production, construction and transportation",Helpers--roofers,0
0,"Production, construction and transportation","Paper goods machine setters, operators, and tenders",0
0,"Production, construction and transportation","Roof bolters, mining",0
0,"Production, construction and transportation","Rock splitters, quarry",0
0,"Production, construction and transportation","Roustabouts, oil and gas",0
0,"Production, construction and transportation",Highway maintenance workers,0
